评论人,时间,内容
jaimesoliz,2018-01-12,"As soon as she said there’s $75k in the bathroom, I had to go check if it’s real 😂 #thecommuter this movie was dope, comes out tomorrow 1/12 so go watch it. Thanks @Lionsgate for activating me. #alliedcontigo"
bellanaijaonline,2018-01-13,#SwipeLeft to see four sides of #LiamNeeson you should expect to see in #TheCommuter. Have you seen it yet? The Commuter is #NowPlaying in cinemas nationwide. #SwipeLeftto view movie trailer. Follow @filmoneng for a chance to win free movie tickets. #BellaNaijaSC
claralago1,2018-01-08,"Good morning, New York...😍 #sunrise #nofilter #promotion #thecommuter #herewego Buenos días, Nueva York...😍 #amanecer #sinfiltro #promoción #thecommuter #vamosquenosvamos"
rottentomatoes,2018-01-14,What #movies are you seeing in #theaters this weekend? #Paddington2 #ThePost #TheCommuter
psycho_bates_,2018-02-14,Norma Bates is my mood! 🙄 Credit: @rosefarmiga
moviechatq8,2018-01-15,‏#RatingCHAT اسم الفيلم: The Commuter نوع الفيلم:اكشن مدة الفيلم: ساعة و ٤٤ دقيقة قصة الفيلم: رجل أعمال محاصر في مؤامرة جنائية أثناء تنقلاته اليومية إلى المنزل. • ✔️تقيمي: 5/10 فيلم عادي جداً، تذكرون افلام التسيعينات الي تتركز على الحدث نفسه، قصه ضعيفه شخصيات معدومه تقريباً اشياء كثيره مكرره الاكشن جيد، بداية بطيئه للفيلم وبعدها احداث ولكن مو مشوقه ونهايه متوقعه، صراحه شفت الفيلم عادي ومقبول ويمكن غيري راح يستمتع فيه اكثر بس انا اشوف ان فيلم راح انساه باجر، انتو شرايكم. #TheCommuterCHAT #thecommuterreview #thecommuter
rottentomatoes,2018-01-31,Which movies did you see this month? #Insidious: #TheLastKey #MollysGame #ThePost #ProudMary #MaryandtheWitchsFlower #TheCommuter #DenofThieves #MazeRunner: #TheDeathCure
cineworld.dublin,2018-01-13,We are delighted to have the one and only Liam Neeson in attendance with us this evening. #LiamNeeson #Cineworld #Cineworlddublin #TheCommuter
kittigap,2018-01-11,หนังสนุก ไปดูกันได้แล้ว#TheCommuter เข้าพฤหัสนี้แล้ว
__red_x__,2018-02-16,"Apparently Liam Neeson is not tired of always playing the same role since Taken... its sequels, its spin-off... WHY??? Unfortunately, this movie is no exception to the rule and even if it might be entertaining for some, the topic became so cliché, with another recycled scenario, that I don't buy it! Enough is enough, move on, Liam!!! #thecommuter #americancinema #thriller #7thart #review #yourcall 🇺🇸🎬📽🚦🚇🚉📱🔫💼🕵️‍♂️👎👉😊"
lighthousecinemas_warri,2018-02-16,New #weekly schedule @lighthousecinemas_warri #Feb14th #blackpanthermovie #fiftyshadesfreed #fiftyshades #braven #theweddingparty2 #tadeojones2 #actsofviolence #bustedthemovie #thecommuter #proudmary #movie #moviescenes #lighthousecinemas #lhcwarri #lhc
arinkescollection,2018-02-16,-------------------------------------------------------------------- New arrivals... Feel free to DM us for further enquiries or simply contact us on 08137645017/07085462609. #styletips #everydayfashion #lagosbabes # #abujawomen #naijafashiondaily #naijachic #Nigeria #ghana #arinkescollections #naijacomedy #theroyalhibiscushotel n #basketmouth #kennyblaq #mohits #dbanj #donjazzy #wizkid #davido #sciencestudent #paulokoye #wandecoal #shakushaku #futminna #teamdsf #baddosneh #coco #todaystrends #tiwasavage#thecommuter #blackpanther
arinkescollection,2018-02-16,-------------------------------------------------------------------- New arrivals... Feel free to DM us for further enquiries or simply contact us on 08137645017/07085462609. #styletips #everydayfashion #lagosnigeria # #eksu #naijafashiondaily #naijachic #Nigeria #ghana #arinkescollections #naijacomedy #theroyalhibiscushotel n #basketmouth #kennyblaq #mohits #dbanj #donjazzy #wizkid #davido #sciencestudent #paulokoye #wandecoal #shakushaku #futminna #teamdsf #baddosneh #coco #todaystrends #tiwasavage#thecommuter #blackpanther
ianfilmsblog,2018-02-16,"027) The Commuter (Cinema) 5 minutes of Liam Neeson beating someone up with a guitar was something I never knew I needed in my life, that was awesome! This was Fun!! If you liked Non Stop deffo check this one out. ⭐️7/10⭐️ #thecommuter #liamneeson #VeraFarmiga #Seat15 #Cinema #Cineworld #Cinephile #Cinephilecommunity #moviereview #movieposter #moviequotes #cinematicket #filmdiary #movie #film"
akiyoshi825,2018-02-16,"Memories of Seoul 映画編 韓国のロッテシネマで。映画館を探してちょっと遠くまで。なにもかもハングルで、果たして字幕なのか？と映画が始まるまで超不安だった思い出。 In Seoul, Lotte Cinemas. Traveled a bit to find the cinema showing The Commuter. No one couldn’t help me in English, so I was worried if the movie was in English or not...until it started-kinda memory in Seoul. . . . #lottecinema #movie #thecommuter #cinema #seoul #韓国 #ソウル #ロッテシネマ #映画 #シネマ #トレインミッション #映画鑑賞 #好きな映画は2回 #映画好きな人と繋がりたい #akiyoshiphotos #Shotoniphone"
nidaa.albouq,2018-02-16,شيء تحبه أفعله بهناء وسعادهـ.. كُل أولئِك الذين ينتقِدونك يفعلون ما يُحِبونه متى أرادوا ذلك..🌱 #thecommuter #the_commuter 14JAN2017
dowlingram,2018-02-16,"Saw The Commuter the other night at the AMC Burbank 8 with my brother-in-law. If you like seeing Liam Neeson in elbow fights in confined spaces and getting punched a lot, then this is the movie for you!! :) #Burbank #AMC #AMCTheatre #Movie #Cinema #Film #TheCommuter #LiamNeeson"
arinkescollection,2018-02-12,-------------------------------------------------------------------- New arrivals... Feel free to DM us for further enquiries or simply contact us on 08137645017/07085462609. #styletips #everydayfashion #lagosbabes # #abujawomen #naijafashiondaily #naijachic #Nigeria #ghana #arinkescollections #naijacomedy #theroyalhibiscushotel n #basketmouth #kennyblaq #mohits #dbanj #donjazzy #wizkid #davido #sciencestudent #paulokoye #wandecoal #shakushaku #futminna #teamdsf #baddosneh #coco #todaystrends #tiwasavage#thecommuter #blackpanther
arinkescollection,2018-02-12,Satin set -------------------------------------------------------------------- New arrivals... Feel free to DM us for further enquiries or simply contact us on 08137645017/07085462609. #styletips #everydayfashion #lagosbabes # #abujawomen #naijafashiondaily #naijachic #e #ArinkesSurpriseLovePack #naijacomedy #accessbankmarathon #basketmouth #kennyblaq #mohits #dbanj #donjazzy #wizkid #davido #sciencestudent #paulokoye #wandecoal #shakushaku #futminna #teamdsf #baddosneh #coco #todaystrends #tiwasavage#thecommuter #bigbrothernaija2018
crosscountry.farm,2018-02-16,"Love and marriage, love and marriage ..😂❤️#backtothefarm #bucharestprod #prodbucharest #thecommuter #crosscountryfarm #weridetransylvania"
