评论人,时间,内容
photosofbritain,2018-02-03,"Would you rather go wild camping or stay in a posh country hotel? I'm skint, sadly, so camping in the Lake District, Cumbria would be my pick! How gorgeous is this English countryside shot by @christographer.owens? This glorious vista is from Loughrigg Fell above Ambleside toward the northern end of Lake Windermere and Waterhead, Cumbria. . The @lake.district is where England's scenery takes an unexpected walk on the wild side. Nowhere in the nation packs such an instant panoramic punch: rivers rush, forces tumble, lakes glisten and lonely fells loom along an ever reaching horizon. But the @Lake.District is much more than just epic views. It's an historic textbook, a rural heartland, a foodie heaven, an outdoor playground and a literary landmark all rolled into one breathtakingly beautiful scenic bundle. . And of course - this is Beatrix Potter land. Growing up, I loved reading the adventures of Peter Rabbit, Squirrel Nutkin and Jemima Puddle-Duck to name but a few. Potter holidayed as a child in the Lake District and was inspired by the flora, fauna and landscape, which she observed closely and painted. With the proceeds from her books, Potter bought ‘Hill Top Farm’ in Near Sawrey and over the following decades, purchased additional farms to preserve the unique hill country landscape. Potter wrote 30 books in all, the most famous being ‘The tale of Peter Rabbit’. Following her death in 1943, she left almost all of her property to the National Trust. What a truly wonderful woman. . If you want to see more stunning shots from this part of England, head over to my dedicated @lake.district hub! Lovely shot by @christographer.owens 🇬🇧 Want your Photos of Britain to be featured? Follow us and then add the tag #photosofbritain and tag us in the picture too! 🇬🇧"
gojet.design,2018-02-18,"January 18, 2018 小鳥向花兒呢喃，輕訴著兩顆心💕 陽光穿過樹梢灑落一地粼光 微風輕吹，吹過森林處 在森林處，有隻兔子叫做「Peter」 他穿過層層森林 帶著幸福的蘿蔔🥕 揭開今日最美的時刻 #彼得兔 #PeterRabbit #森林秘境 #主題全客製設計 #美綠生態園 #Kaohsiung #Tainan #Pingtung #weddingdesign"
emma52079,2018-02-13,- 太可愛了 一定要去看 後面還狂NG吃螺絲😂 @gboyswag_official #鼓鼓 #彼得兔 #20180404跳上大螢幕
overccc26,2017-01-21,快點退房啊樂樂～～ 拔鼻床床都鋪好咧， 快點來睡啊～～～ #彼得兔 #Cute #媽媽肚子睡太爽😂😂
orange__0105,2017-04-18,今日成品--高帽子喜餅，除了蛋捲，其他都OK👏👏👏 放在彼得兔鐵盒裡，美美的⋯附上老師做的，怎麼看都美 #喜餅 #高帽子 #彼得兔 #桔range
lionrockhk,2016-05-23,/ Peter Rabbit 😳
adamaneve6263456,2016-12-30,本來不打算買的，結果有人一直想換新新。 添加新床組😙😙😙 和yen多買了一組，送給朋友剛出生的小公主 😘😘 小公主表示很喜歡 #彼得兔 #彼 #彼得兔 #一年 過了 床組越來越多～
kay6208,2017-03-17,很享受/想瘦 誰要幫我介紹DJ #開心就好 #規劃未來 #豆腐鯊 #莫名的 #依莎貝爾 #彼得兔 #紅色口紅 #20170317 #倒數217天
lake.district,2018-02-16,"Queen of the fells by @captainmattwebb // Stunning shot over Buttermere with the iconic Herdwick! A recent study strongly indicates the Herdwick are descended from flocks of Viking settlers in Northern Europe. They may well have been introduced by Norse-Irish settlers in the 10th and 11th centuries, or they may be derived from animals introduced by Neolithic or Bronze Age herdsmen. The name ""Herdwick"" is derived from the Old Norse herdvyck, meaning sheep pasture // PS. I presume this sheep is female. Let me know if I've got that wrong ha! // To be featured here - Follow and tag us in your best Lake District shots! ❄️❄️❄️"
armani_inamra_a,2018-01-02,#日本郵局 日本郵局真的很好買，周邊商品聯名越來越多😑 #日本郵局限定 #彼得兔 #米老鼠 #郵便局 #郵便局限定 #ピーターラビット #peterrabbit #ケース付き #伊勢 #三重県 #伊勢市 #日本本旅遊 #暢遊日本 #visitjapantw #一起趣日本購物 #姬路_伊勢之旅
wenhao0919,2018-01-02,天氣好溜小孩🏃🏻‍♀️酒窩跑出來了❣️ #酒窩 #單眼皮但眼睛大 #吃草 #一歲三個月 #彼得兔 #班尼頓
