评论人,时间,内容
yang_liu_288,2018-01-16,#真实 #梅贻琦 #清华大学 #无问西东 #foreveryoung
tina__27,2018-01-20,#无问西东
rise_zhruisi0818,2018-01-15,#无问西东 my homie~
miuye00,2018-01-16,电影好美，男神帅炸。#无问西东
sulli_lu,2018-01-15,#无问西东 强烈安利，从思索人生意义的羞耻感中解脱出来。我还是最喜欢最喜欢王力宏啊！
xinwen_mina,2018-01-15,#无问西东 做真实的自己 真正成长是不断自我进化 一千个人眼里有一千个哈姆雷特 好好做自我 好好感受自我内心最真实的感觉
dawei_xu_,2018-01-13,#立德立言#无问西东
david__zyh,2018-01-14,从南到北 无问西东🍃🍃🍃 #无问西东#安和桥#castle
dingdang_linlin,2018-02-17,My favorite film #无问西东
songlittlewhite_orz,2018-02-15,#无问西东 我为什么在章子怡拿出雪花膏的时候 说了一句 这当年也算得上是雪花秀三件套的档次了 🙄🙄🙄🙄🙄🙄🙄 应该没人喜欢和我一起去看电影
tinglanzhu,2018-02-15,电影《#无问西东》 #Forever Young -“如果你们提前了解了，你们要面对的人生，你们是否有勇气前来？” -没有。 -爱你所爱 行你所行 听从你心 无问西东 -好的。
stann_x,2018-02-15,你站在半开的窗牖前，面纱微微撩起，等待着货郎来卖手镯脚铃。你懒散地望着，笨重的牛车在尘土飞扬的土路上叽嘎叽嘎地滚动着车轮。远处的河面上，天水相接处，帆樯缓缓飘动。 世界对你，就好似老奶奶摇动纺车时低声吟唱的小曲，无意义无目的，又充满随心所欲的想象。 但是，有谁知道，也许就在这闷热倦人的正午，那个陌生人提着满篮奇特的货物，已经上路？他响亮地呼唤着路过你的门前时，你便会从依稀的梦中惊醒，将窗儿洞开，抛下面纱，走出房门，去迎接命运的安排。 除夕空荡的电影院 一人包场看完 流了不少眼泪 这几年难得的好片 强力推荐 #无问西东
kiki77__,2018-02-15,#无所畏惧 #听从内心 #无问西东 #时光匆匆 #你最珍贵 #新年快乐2018🍾️🎉🎊🎈🍾️🎉🎊 🎉
sooul88,2018-02-14,. 愿你在被打击时 记起你的珍贵 抵抗恶意 . 愿你在迷茫时 坚信你的珍贵 爱你所爱 行你所行 听从你心 无问西东 . ——#无问西东 #영화 #film #필름
